ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
362,democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
86,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
264,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
258,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
381,democrat,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
152,democrat,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
412,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
182,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
294,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
424,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
57,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
363,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
172,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
365,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
168,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
54,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
236,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
295,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
296,republican,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
332,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
74,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
259,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
148,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
304,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
402,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
141,republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
22,democrat,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
140,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
42,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
419,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
239,democrat,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
33,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
147,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
49,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
38,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
9,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
276,democrat,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
115,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
302,democrat,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
70,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
429,democrat,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
68,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
114,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
314,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
156,republican,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
60,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
175,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
398,democrat,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
129,democrat,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
143,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
202,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
