ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
285,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
91,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
244,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
292,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
151,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
317,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
138,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
100,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
252,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
104,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
93,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
430,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
165,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
360,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
95,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
122,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
256,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
391,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
248,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
315,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
